date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-10-01,8,2,0.0,11.6,2,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,-0,4,6,4,10,32,67,0.0,1033,8,10,50,8,moscow
2017-10-02,7,1,0.0,5.8,1,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-1,4,5,4,4,73,67,0.0,1034,7,10,218,3,moscow
2017-10-03,7,3,0.0,11.6,2,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-2,2,5,2,19,44,63,0.0,1030,7,10,180,14,moscow
2017-10-04,9,2,0.0,4.2,2,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,1,2,6,2,29,87,71,1.9,1018,9,10,187,20,moscow
2017-10-05,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,6,6,8,6,26,94,88,3.3,1002,10,9,201,18,moscow
2017-10-06,5,5,0.0,7.2,2,100,06:35 PM,07:01 AM,06:42 AM,05:52 PM,5,3,5,3,20,57,94,0.9,997,5,5,229,13,moscow
2017-10-07,10,5,0.0,5.7,2,84,07:00 PM,08:23 AM,06:44 AM,05:50 PM,5,4,7,4,23,70,87,0.3,1008,10,10,225,16,moscow
2017-10-08,12,4,0.0,8.7,3,77,07:29 PM,09:46 AM,06:46 AM,05:47 PM,5,7,8,7,15,37,80,0.8,1017,12,8,169,10,moscow
2017-10-09,15,8,0.0,7.2,4,70,08:03 PM,11:07 AM,06:48 AM,05:45 PM,9,9,12,9,33,76,82,1.3,1008,15,10,140,23,moscow
2017-10-10,10,6,0.0,7.2,3,62,08:46 PM,12:23 PM,06:50 AM,05:42 PM,4,7,9,7,16,59,76,0.3,1012,10,10,212,12,moscow
2017-10-11,8,4,0.0,4.1,2,55,09:40 PM,01:31 PM,06:52 AM,05:39 PM,4,4,7,4,21,82,82,0.1,1013,8,10,191,15,moscow
2017-10-12,9,5,0.0,5.6,2,48,10:43 PM,02:27 PM,06:54 AM,05:37 PM,5,5,7,5,14,90,87,1.7,1009,9,9,211,10,moscow
2017-10-13,11,6,0.0,5.6,2,41,11:55 PM,03:12 PM,06:56 AM,05:34 PM,7,6,8,6,18,87,91,4.1,1003,11,9,201,13,moscow
2017-10-14,8,5,0.0,4.0,2,33,No moonrise,03:48 PM,06:58 AM,05:32 PM,4,4,7,4,20,100,86,0.9,1004,8,6,284,15,moscow
2017-10-15,5,2,0.0,3.9,1,26,01:10 AM,04:16 PM,07:00 AM,05:29 PM,2,1,4,1,21,85,85,2.2,1004,5,9,253,15,moscow
2017-10-16,6,4,0.0,3.8,1,19,02:26 AM,04:40 PM,07:02 AM,05:27 PM,2,2,5,2,22,82,79,0.0,1013,6,10,296,15,moscow
2017-10-17,11,6,0.0,8.7,3,12,03:43 AM,05:02 PM,07:05 AM,05:25 PM,4,6,9,6,25,46,76,0.0,1012,11,10,275,17,moscow
2017-10-18,12,7,0.0,5.4,3,4,04:58 AM,05:21 PM,07:07 AM,05:22 PM,7,7,10,7,31,72,82,0.3,1006,12,10,258,20,moscow
2017-10-19,8,4,0.0,7.1,3,0,06:11 AM,05:41 PM,07:09 AM,05:20 PM,2,3,6,3,23,43,75,0.0,1014,8,10,290,16,moscow
2017-10-20,7,3,0.0,5.4,2,0,07:24 AM,06:01 PM,07:11 AM,05:17 PM,1,3,5,3,11,56,78,0.3,1021,7,10,297,8,moscow
