date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-10-01 00:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,1,3,6,3,12,80,72,0.0,1030,5,10,21,9,moscow
2017-10-01 03:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,1,2,5,2,16,84,76,0.0,1031,4,10,23,11,moscow
2017-10-01 06:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,1,3,6,3,14,10,72,0.0,1032,5,10,42,12,moscow
2017-10-01 09:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,-0,7,9,7,12,23,53,0.0,1032,8,10,50,11,moscow
2017-10-01 12:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,-1,6,8,6,10,19,54,0.0,1033,7,10,45,8,moscow
2017-10-01 15:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,-1,5,6,5,8,10,62,0.0,1033,5,10,47,6,moscow
2017-10-01 18:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,-1,3,4,3,8,16,71,0.0,1034,3,10,78,5,moscow
2017-10-01 21:00:00,8,2,0.0,11.6,1,72,04:39 PM,12:47 AM,06:32 AM,06:05 PM,-1,3,3,3,4,14,77,0.0,1034,2,10,95,3,moscow
2017-10-02 00:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,0,3,3,3,1,35,84,0.0,1035,2,10,356,1,moscow
2017-10-02 03:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-1,2,2,2,1,100,84,0.0,1035,1,10,350,1,moscow
2017-10-02 06:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-0,5,5,5,2,54,69,0.0,1034,4,10,153,2,moscow
2017-10-02 09:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-0,8,8,8,4,85,56,0.0,1034,7,10,165,3,moscow
2017-10-02 12:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-1,6,6,6,4,90,58,0.0,1033,6,10,206,4,moscow
2017-10-02 15:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-1,6,6,6,4,78,61,0.0,1033,5,10,199,3,moscow
2017-10-02 18:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-2,4,5,4,6,81,61,0.0,1033,4,10,158,4,moscow
2017-10-02 21:00:00,7,1,0.0,5.8,2,79,05:06 PM,01:55 AM,06:34 AM,06:02 PM,-2,2,4,2,11,64,63,0.0,1033,4,10,155,8,moscow
2017-10-03 00:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-1,2,4,2,10,70,69,0.0,1032,3,10,179,7,moscow
2017-10-03 03:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-1,1,4,1,14,53,68,0.0,1032,4,10,169,10,moscow
2017-10-03 06:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-2,1,5,1,17,47,62,0.0,1031,4,10,181,14,moscow
2017-10-03 09:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-2,4,7,4,18,34,54,0.0,1030,7,10,182,16,moscow
2017-10-03 12:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-2,4,7,4,20,36,54,0.0,1029,7,10,187,17,moscow
2017-10-03 15:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-1,2,5,2,21,5,63,0.0,1029,4,10,175,14,moscow
2017-10-03 18:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-3,-0,3,-0,23,40,65,0.0,1028,3,10,183,14,moscow
2017-10-03 21:00:00,7,3,0.0,11.6,1,87,05:30 PM,03:07 AM,06:36 AM,06:00 PM,-3,-1,3,-1,26,68,67,0.0,1027,3,10,186,17,moscow
2017-10-04 00:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,-2,-1,3,-1,19,50,72,0.0,1025,2,10,170,12,moscow
2017-10-04 03:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,-2,-2,2,-2,29,72,73,0.0,1024,2,10,172,18,moscow
2017-10-04 06:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,-2,0,5,0,28,85,63,0.0,1022,4,10,183,21,moscow
2017-10-04 09:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,-0,5,8,5,31,90,54,0.0,1019,8,10,182,26,moscow
2017-10-04 12:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,2,6,9,6,26,100,60,0.0,1017,9,10,188,18,moscow
2017-10-04 15:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,3,3,7,3,40,100,76,1.8,1014,7,9,188,26,moscow
2017-10-04 18:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,5,3,7,3,34,100,84,0.0,1013,7,10,204,23,moscow
2017-10-04 21:00:00,9,2,0.0,4.2,3,94,05:52 PM,04:22 AM,06:38 AM,05:57 PM,6,5,8,5,27,100,90,0.1,1011,8,10,210,18,moscow
2017-10-05 00:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,7,6,8,6,19,100,91,0.0,1009,8,10,202,14,moscow
2017-10-05 03:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,6,5,8,5,29,100,91,0.9,1007,8,9,197,20,moscow
2017-10-05 06:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,6,6,9,6,27,100,86,0.0,1005,9,10,193,20,moscow
2017-10-05 09:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,7,6,9,6,30,100,83,1.0,1003,9,9,191,23,moscow
2017-10-05 12:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,7,7,10,7,24,100,82,0.0,1000,10,10,189,18,moscow
2017-10-05 15:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,7,6,9,6,29,100,88,1.2,998,9,9,181,20,moscow
2017-10-05 18:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,6,5,8,5,26,100,90,0.0,997,8,10,226,18,moscow
2017-10-05 21:00:00,10,6,0.0,4.2,2,100,06:13 PM,05:41 AM,06:40 AM,05:55 PM,5,4,7,4,21,51,92,0.2,997,6,5,227,14,moscow
2017-10-06 00:00:00,5,5,0.0,7.2,2,100,06:35 PM,07:01 AM,06:42 AM,05:52 PM,5,3,6,3,21,57,94,0.2,998,5,5,198,13,moscow
2017-10-06 03:00:00,5,5,0.0,7.2,2,100,06:35 PM,07:01 AM,06:42 AM,05:52 PM,5,3,6,3,21,58,94,0.2,998,5,5,203,13,moscow
2017-10-06 06:00:00,5,5,0.0,7.2,2,100,06:35 PM,07:01 AM,06:42 AM,05:52 PM,5,3,6,3,21,58,94,0.2,998,5,5,210,13,moscow
2017-10-06 09:00:00,5,5,0.0,7.2,2,100,06:35 PM,07:01 AM,06:42 AM,05:52 PM,5,3,6,3,20,59,94,0.2,997,5,4,217,13,moscow
